aminoglycoside	bacitracin	beta_lactam	bleomycin	chloramphenicol	fosfomycin	fosmidomycin	macrolide-lincosamide-streptogramin	multidrug	peptide	polymyxin	qa_compound	quinolone	rifampin	sulfonamide	tetracycline	triclosan	run_id	Marine_provinces	Environmental_Feature	Ocean_sea_regions	fraction	Biogeographic_biomes	Mean_Lat*	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]
0.16985231282683996	1.956438907601824	4.67319608186051	0.0	0.25593577272101553	0.03389972332610899	0.21020910942996462	0.8368139784833306	15.729231963822475	0.10475643316579353	0.11497931162259803	21.075837668692007	0.013198162444607819	0.0007034540271865911	0.23853883466389605	27.63165448400798	0.26681510023994665	ERR599133	 South Atlantic Gyral Province 	 deep chlorophyll maximum layer 	 South Atlantic Ocean 	0.22 - 3.0	Trades Biome	-8.7	2010-10-05T15:35	-8.7296	-17.9604	100	-17.94	95.4	24.1	36.6	194.4	0.2	0.01	0.14	0.04	1.32	40.4	0.04	0.02	1.02	0.0	75	97	98	29.0	270.0	132.0	3000.0	465.0	4373.0	4263.0	6.7	7.17	17195.0	0.735	302791.0	123447.0	426238.0	3263.0	14.0
0.4602900566965305	0.9368106329407344	3.807053996101012	0.0	0.14187237724500268	0.02751705681112998	0.001995069310250635	0.8089830109813435	6.523131000615246	0.026985516348797676	1.087789493139138	4.768618160028665	0.001552738043879231	0.0008695333045723695	0.19455225390916497	15.902825357165568	0.11489316713556522	ERR599037	 Indian Monsoon Gyres Province 	 mesopelagic zone 	 Indian Ocean 	0.22 - 1.6	Trades Biome	18.72	2010-03-20T08:15:28	18.7341	66.3896	270	66.36	268.2	15.6	35.9	2.3	19.6	2.07	2.64	21.22	38.62	48.6	0.33	0.03	1.63	2.14	9	35	83	29.0	555.0	115.0	3024.0	513.0	5017.0	4988.0	5.49	7.22	17308.0	0.7390000000000001	972004.0	0.0	972004.0	0.0	46.0
0.055026103751881515	1.1381323034937	2.5485948867498247	0.0	0.10819393102758895	0.014800693139925523	0.1321245529373613	0.3844767369717438	9.563884956850144	0.04526104317357731	0.08285869725119308	16.138983856182907	0.0010016561752394246	0.0	0.10469196625427321	20.362163225857525	0.1594312556228134	ERR599168	 Pacific Equatorial Divergence Province 	 deep chlorophyll maximum layer 	 South Pacific Ocean 	0.22 - 3.0	Trades Biome	-5.27	2011-04-22T21:13	-5.2669	-85.2732	40	-85.23	45.7	19.6	34.9	103.9	20.3	1.2	1.86	24.4	10.5	44.4	0.0	0.04	1.8	3.75	18	37	36	29.0	353.0	41.0	2931.0	448.0	4241.0	4111.0	6.78	7.17	15878.0	0.741	1071414.0	246947.0	1318361.0	13382.0	12.0
0.10534767225355435	2.076970208612611	3.993230101521564	0.0005030363242307898	0.26514354952745295	0.009044599631371839	0.11061441327545701	0.5227975310156779	14.270928440560034	0.12803141755680894	0.36468934722475965	19.646516160046787	0.008431846958535143	0.0037101406756262904	0.1995406793815257	27.13141264685845	0.17580626473513294	ERR599087	 North Pacific Equatorial Countercurrent Province 	 deep chlorophyll maximum layer 	 North Pacific Ocean 	0.22 - 3.0	Trades Biome	6.34	2011-12-11T13:27:34	6.3378	-102.9538	60	-102.98	58.1	19.0	34.6	77.0	22.1	0.83	1.11	12.9	8.07	32.3	-0.11	0.04		1.61	24	50	48	28.0	347.0	55.0	2984.0	460.0	4312.0	4146.0	6.64	7.12	16960.0	0.732	306105.0	60313.0	366418.0	3630.0	10.0
0.29201334372594234	3.072487872286642	4.399449852588644	0.0	0.08987841365873138	0.037460529701628796	0.12268217022367178	0.24300698960743763	13.751037300107773	0.003569829749919897	0.006466160149810413	17.033796669127128	0.01782126413505643	0.00503802497320311	0.03104832342180652	36.737233225452314	0.5458470435364197	ERR599024	 South Pacific Subtropical Gyre Province, North and South 	 surface water layer 	 South Pacific Ocean 	0.22 - 3.0	Trades Biome	-21.15	2011-04-09T13:56	-21.146	-104.787	5	-104.79	5.4	23.8	36.1	204.0	-1.7	0.0	0.29	0.04	0.55	44.6	0.0	0.0	0.71	13.53	63	145	72	99.0	388.0	314.0	2237.0	354.0	3185.0	3090.0	6.4	7.11	13751.0	0.746					15.0
0.2709077833990995	0.4768260037421592	3.841802188037867	0.0	0.09596666784302363	0.0034721921614335755	0.03225276108747313	0.5108137582066429	14.349974610128223	0.30149802832567585	0.020572122758751542	31.55643976049529	0.043381358429062516	0.0	0.1974194785879003	29.32750492634222	0.22110165825642966	ERR599143	 Northwest Arabian Sea Upwelling Province 	 surface water layer 	 Indian Ocean 	0.22 - 1.6	Coastal Biome 	20.82	2010-03-12T06:06	20.8183	63.5047	5	63.5	5.5	25.6	36.5	210.9		0.05	0.37	0.13	1.2	42.5	-0.03	0.07	0.23	18.83	7	21	23	28.0	378.0	88.0	2162.0	342.0	3048.0	2967.0	6.41	7.12	12504.0	0.754	2216959.0	231702.0	2448661.0	4807.0	12.0
0.18356442001396542	3.9266804140843106	5.229750819623545	0.0	0.3542282692964821	0.028124404898450663	0.2593756945245775	0.5821901250417448	14.296135929145471	0.05806407657147105	0.18832468304389688	20.898726326359604	0.010994889535485265	0.0	0.23942102492093736	44.475674442736896	0.4150434892929005	ERR599022	 South Atlantic Gyral Province 	 surface water layer 	 South Atlantic Ocean 	0.22 - 3.0	Trades Biome	-30.14	2010-11-04T10:04	-30.1367	-43.2899	5	-43.29	5.6	19.9	36.3	221.5	-0.4	0.0	0.0	0.02	0.48		-0.04	0.08	1.91	14.53	34	113	41	317.0	409.0	436.0	2585.0	416.0	3392.0	3377.0	6.6	7.12	15863.0	0.736	447396.0	213507.0	660903.0	5498.0	14.0
0.02514849306856326	0.4284213874370652	5.728104057425592	0.0	0.06271269661032086	0.04173323608147121	0.7799263190774817	0.3230876424034466	20.949374153067094	0.0	3.0020625542267494	17.042974274759654	0.01901612775900026	0.025146565439529166	0.04057541111790577	36.82365482230327	0.12825656270066887	ERR598945	 Antarctic Province 	 surface water layer 	 Southern Ocean 	0.22 - 3.0	Polar Biome	-60.23	2011-01-03T11:05	-60.2287	-60.6476	5	-60.65	5.9	1.8	33.7	338.3	24.4	0.27	1.72	25.3	16.55	36.2	0.16	0.32	0.76	1.83	42	69	88	55.0	519.0	91.0	2030.0	297.0	2876.0	2792.0	6.16	7.2	12175.0	0.7659999999999999	265149.0	0.0	265149.0	1506.0	9.0
0.04794587674511554	0.9518676916856184	3.0945301873892395	0.0	0.08545014558397984	0.004180888443540352	0.07558436801187125	0.2298937333870882	11.904641274185371	0.030059146223384944	0.024354852940759508	25.556735601682334	0.008742310131779561	0.0020319702575248566	0.2165092013281968	30.54208703314846	0.29181545068283715	ERR598943	 Pacific Equatorial Divergence Province 	 surface water layer 	 South Pacific Ocean 	0.22 - 3.0	Trades Biome	-5.25	2011-04-21T20:07	-5.2529	-85.1545	5	-85.16	5.5	24.9	34.7	206.0	11.7	0.32	1.0	12.6	5.0	42.1	0.0	0.04	1.8	3.75	18	37	36	29.0	353.0	41.0	2293.0	357.0	3198.0	3093.0	6.62	7.13	13566.0	0.75	1032721.0	192335.0	1225056.0	19091.0	12.0
0.10615414256209524	0.6595542129148568	4.361831727683442	0.0	0.1782160541068454	0.027859917117790366	0.025873220273952023	0.4520628767971856	13.176776262428431	0.010282944883453661	0.02902260023950281	20.636711814611953	0.00858529860965517	0.003191036413689153	0.04879110927167319	32.08441750735914	0.28731231907065685	ERR599163	 South Pacific Subtropical Gyre Province, North and South 	 surface water layer 	 South Pacific Ocean 	0.22 - 3.0	Trades Biome	-12.99	2011-04-15T12:45	-13.0023	-95.9759	5	-95.99	5.5	25.3	35.8	200.2	4.6	0.14	0.68	6.2	1.2	41.8	-0.02	0.05	0.34	8.97	35	61	51	52.0	239.0	146.0	2412.0	387.0	3504.0	3459.0	6.6	7.17	14283.0	0.7490000000000001	464267.0	155789.0	620056.0	7780.0	14.0
